Слово,Частота
и,422
в,393
я,357
не,350
на,204
что,155
как,141
но,126
с,118
всё,116
—,110
ты,110
мне,106
меня,91
это,82
мы,80
так,72
все,65
а,65
нет,59
тебе,55
больше,55
там,51
ведь,51
если,46
тебя,46
где,46
под,46
только,41
жизнь,41
будет,38
по,37
никогда,37
он,37
пока,36
один,35
мой,35
нас,32
его,32
быть,30
из,30
нам,30
среди,29
для,28
город,28
этой,28
чем,27
ночь,27
пусть,26
за,25
каждый,25
здесь,25
стою,25
дом,25
моя,24
опять,24
убей,24
чегото,24
уточка,24
дай,23
ни,23
когда,23
ещё,23
бы,23
снова,23
да,23
к,22
день,22
чтоб,22
глаза,21
одного,21
они,20
хочу,20
молодым,20
ничего,20
умереть,20
чтобы,19
во,19
лишь,19
звёзды,19
просто,19
рискуя,19
раз,18
у,18
всех,18
твой,18
никого,18
увидимся,18
ооооо,18
до,17
себя,17
без,17
их,17
может,17
было,17
от,17
теперь,17
вернусь,17
нанана,16
мои,16
то,16
кто,16
этот,16
моей,16
небо,16
темноты,16
твои,16
хотела,16
уже,15
себе,15
назад,15
вниз,15
друг,15
этом,15
твоя,15
вчера,15
детей,14
никонтоп,14
её,14
был,14
людей,14
тобой,14
те,14
моё,14
всегда,14
жизни,14
завтра,14
мысли,14
эта,14
оставьте,14
двери,14
небе,13
голове,13
буду,13
снег,13
хотел,13
свои,13
свет,13
знаешь,13
знаю,13
уоуо,13
между,13
давай,12
важно,12
никто,12
три,12
надо,12
чтото,12
остались,12
вернуть,12
солнце,12
слова,12
даже,12
смысл,12
слишком,12
станет,12
нитро,12
стану,11
путь,11
мир,11
последний,11
смотри,11
сам,11
осень,11
засыпаю,11
моих,11
будто,11
жить,11
со,11
хоть,11
терпеть,11
дети,10
устал,10
равно,10
два,10
словно,10
можно,10
же,10
сил,10
горит,10
домой,10
сердце,10
боль,10
тело,10
грязь,10
стен,10
могу,10
всём,10
была,10
мисс,10
барнаул,10
ну,9
вина,9
точно,9
знак,9
сейчас,9
почему,9
девять,9
рядом,9
ночью,9
всего,9
который,9
сегодня,9
–,9
своих,9
души,9
знают,9
наша,9
вся,9
правда,9
