Слово,Частота
я,343
что,142
как,130
всё,103
мне,97
ты,97
меня,90
мы,79
нико,77
боль,74
оста,71
нет,58
жизн,56
тебе,55
все,54
ведь,53
один,53
там,50
пуст,48
где,46
буде,44
горо,43
верн,43
если,43
тебя,42
стра,41
прос,40
слов,40
друг,38
пока,37
он,37
ночь,36
стан,36
мой,35
голо,32
его,32
кажд,32
толь,31
сред,31
дела,31
нам,30
свет,29
быть,29
глаз,28
хоте,28
чем,27
этой,27
смот,27
день,27
свои,27
чего,27
увид,27
двер,26
твои,25
звёз,25
стою,25
дом,25
одно,25
моя,24
убей,24
уточ,24
нас,23
дай,23
вечн,23
здес,23
моло,23
да,23
буду,22
всег,22
знаю,22
засы,22
мысл,22
умер,22
когд,21
ещё,21
темн,21
они,20
уста,20
хочу,20
снов,20
стен,20
оооо,20
опят,19
може,19
посл,19
ниче,19
риск,19
полу,18
похо,18
лишь,18
тобо,18
небо,18
безу,17
себя,17
без,17
их,17
чтоб,17
всех,17
было,17
бы,17
тепе,17
нана,16
прав,16
раз,16
вниз,16
надо,16
моей,16
твой,16
гряз,16
гори,16
пове,16
закр,16
лучш,16
дава,15
дете,15
себе,15
спас,15
мои,15
то,15
кто,15
силь,15
снег,15
чёрн,15
знае,15
завт,15
уже,14
всем,14
важн,14
небе,14
солн,14
долг,14
нужн,14
её,14
част,14
разб,14
само,14
вчер,14
земл,13
слыш,13
был,13
прош,13
взгл,13
люде,13
скаж,13
улыб,13
домо,13
квар,13
моё,13
весе,13
уоуо,13
молч,13
пото,12
пере,12
три,12
кото,12
чтот,12
осен,12
друз,12
хоче,12
раст,12
даже,12
смыс,12
твоя,12
слиш,12
встр,12
прев,12
терп,12
нитр,12
знак,11
никт,11
семь,11
мир,11
наза,11
одна,11
конч,11
сам,11
тело,11
разо,11
сдел,11
серд,11
счас,11
этом,11
моих,11
жить,11
беск,11
хоть,11
иска,11
скры,11
межд,11
приш,10
чело,10
пред,10
наде,10
стол,10
путь,10
два,10
тёмн,10
крыш,10
проб,10
крич,10
можн,10
спря,10
детс,10
помн,10
дома,10
же,10
сил,10
забы,10
бесп,10
будт,10
роди,10
спал,10
гром,10
могу,10
чувс,10
брос,10
одни,10
мисс,10
барн,10
пода,10
ну,9
дети,9
улиц,9
вина,9
точн,9
зако,9
мечт,9
поче,9
равн,9
секу,9
судь,9
–,9
дост,9
наве,9
возв,9
души,9
попр,9
наша,9
стал,9
приз,9
счит,9
вся,9
весь,9
стоя,9
бесс,9
коле,9
виде,9
обыч,9
мало,9
даль,9
точк,9
рухн,9
нако,9
стар,8
забе,8
сейч,8
рядо,8
наши,8
прич,8
ума,8
расс,8
разр,8
пари,8
смер,8
хоро,8
гдет,8
тыся,8
взро,8
знач,8
прощ,8
холо,8
норм,8
отпу,8
верю,8
отве,8
усну,8
пост,8
лицо,8
близ,8
мног,8
ооо,8
ему,8
длит,8
вспо,8
колы,8
сомн,8
зоди,8
будь,8
созв,8
гася,8
назе,8
кряк,8
убил,7
танц,7
вели,7
звез,7
прид,7
неуж,7
стат,7
самы,7
она,7
сего,7
маск,7
нём,7
глуп,7
стро,7
рука,7
белы,7
вмес,7
стре,7
дайт,7
дым,7
своё,7
начн,7
свое,7
или,7
обещ,7
план,7
наше,7
недо,7
океа,7
прек,7
снос,7
объя,7
вокр,7
накр,7
отра,7
твоё,7
окна,7
ника,7
хуже,7
цвет,7
брай,7
молк,7
прин,7
ко,7
имя,7
запа,7
сказ,7
бейо,7
взор,6
ново,6
позд,6
дене,6
луна,6
пряч,6
были,6
помо,6
разв,6
шанс,6
вече,6
прод,6
бьёт,6
пада,6
есть,6
плак,6
дожд,6
стих,6
ночи,6
пойд,6
пент,6
явит,6
бафо,6
оска,6
зубы,6
пист,6
цено,6
искл,6
моме,6
бума,6
год,6
найд,6
укры,6
вдал,6
свою,6
разн,6
чере,6
коро,6
оско,6
обра,6
откр,6
пыта,6
люди,6
горд,6
тела,6
пьян,6
дни,6
пово,6
крик,6
гляд,6
кров,6
верь,6
крас,6
удар,6
твое,6
реве,6
чёрт,6
шаг,6
едем,6
стил,6
умрё,6
пите,6
назл,6
двул,6
всём,6
кадр,6
эпиз,6
края,6
след,5
устр,5
втор,5
заст,5
ждат,5
впер,5
четы,5
кем,5
обла,5
лето,5
сосе,5
зака,5
двор,5
пишу,5
утро,5
тако,5
снит,5
смож,5
неба,5
прив,5
серы,5
ощуп,5
спин,5
игру,5
заме,5
скор,5
отсю,5
всел,5
кора,5
плыв,5
свин,5
смеш,5
благ,5
гудр,5
нефт,5
тьма,5
смеё,5
хлоп,5
како,5
трет,5
янва,5
жало,5
повт,5
внов,5
возд,5
проп,5
смог,5
жабр,5
барб,5
свер,5
выкл,5
свят,5
вдру,5
проч,5
враг,5
внут,5
ааа,5
долж,5
реал,5
блес,5
наш,5
засу,5
собл,5
липо,5
была,5
запи,5
круг,5
поду,5
валь,5
отри,5
обст,5
груд,5
тюрь,5
рису,5
нову,5
подг,5
яичн,5
уезж,5
своб,5
пятн,5
мале,4
карм,4
черн,4
прит,4
зажж,4
врач,4
выби,4
прик,4
жела,4
лице,4
фона,4
стои,4
реше,4
адво,4
нами,4
бэтм,4
знал,4
подв,4
адре,4
радо,4
подъ,4
даст,4
ледя,4
сон,4
рань,4
тону,4
серо,4
нена,4
увиж,4
перв,4
навс,4
звон,4
моск,4
лёжа,4
балк,4
поло,4
биле,4
нрав,4
паль,4
поня,4
мест,4
схож,4
исче,4
гово,4
язык,4
звук,4
бере,4
ваша,4
цара,4
скал,4
тогд,4
песн,4
том,4
собо,4
пожа,4
кром,4
сини,4
безз,4
давн,4
врод,4
ктот,4
смея,4
кака,4
напо,4
врем,4
плох,4
подо,4
вода,4
им,4
поум,4
нево,4
слав,4
мной,4
нель,4
поно,4
тоск,4
эмом,4
стаг,4
авгу,4
лета,4
наст,4
несё,4
ней,4
крут,4
посм,4
чита,4
при,4
влач,4
вызы,4
лжи,4
люби,4
саму,4
ото,4
нача,4
боюс,4
лист,4
насм,4
умир,4
чужи,4
косм,4
над,4
секр,4
вещи,4
ложь,4
моим,4
прил,4
беги,4
кемт,4
i,4
выпу,4
выпл,4
остр,4
вот,4
виск,4
нуже,4
прям,4
пись,4
напл,4
одея,4
вид,4
клят,4
тайг,4
видя,4
твою,4
ловя,4
мммм,4
поко,3
ничт,3
бога,3
ян,3
кёрт,3
конц,3
войн,3
вери,3
види,3
поез,3
маши,3
песе,3
деся,3
преж,3
пять,3
окин,3
быти,3
пора,3
него,3
час,3
ножа,3
горя,3
огнё,3
инач,3
запо,3
вздо,3
сойт,3
трам,3
везё,3
памя,3
наив,3
неза,3
липк,3
лица,3
захо,3
степ,3
испо,3
пого,3
нище,3
года,3
соци,3
учит,3
петл,3
едет,3
лес,3
целу,3
кост,3
пепе,3
сига,3
водк,3
обни,3
нежн,3
дому,3
ищу,3
мове,3
соби,3
скле,3
того,3
табл,3
поту,3
каже,3
зали,3
рта,3
идёт,3
взят,3
вино,3
волн,3
звер,3
чём,3
съеш,3
исте,3
прип,3
мост,3
неде,3
прол,3
тихо,3
свад,3
тост,3
напи,3
живо,3
неве,3
бог,3
разл,3
сере,3
б,3
забу,3
веру,3
отча,3
солё,3
узна,3
пров,3
поне,3
пане,3
пить,3
весн,3
жену,3
пара,3
чьей,3
кухн,3
спящ,3
заду,3
укра,3
хотя,3
пуга,3
жаль,3
разд,3
обид,3
непр,3
скол,3
комн,3
прои,3
свеч,3
музы,3
коло,3
раск,3
пале,3
коми,3
to,3
стак,3
ним,3
изве,3
всей,3
нагр,3
кару,3
ждём,3
восх,3
целы,3
спит,3
ушёл,3
чуде,3
мира,3
сыгр,3
зата,3
моро,3
внеш,3
стыд,3
смят,3
срав,3
гран,3
чему,3
фаль,3
груз,3
гнет,3
море,3
ради,3
мину,3
тепл,3
тоже,3
теря,3
живё,3
попо,3
афга,3
дикт,3
сны,3
сжиг,3
орке,3
доба,3
пешк,3
длин,3
вэйд,3
така,3
праз,3
тара,3
руку,3
совр,3
свой,3
жене,3
джун,3
ёлок,3
снеж,3
афри,3
плам,3
заче,3
впус,3
сраз,3
штук,3
осты,3
сжал,3
четв,3
приб,3
защи,3
игра,2
неже,2
огне,2
выйд,2
хаос,2
мерт,2
ваше,2
дири,2
утра,2
купи,2
сата,2
захв,2
метр,2
иноп,2
дово,2
весо,2
заре,2
летя,2
ближ,2
девя,2
путы,2
избе,2
восе,2
сгус,2
шест,2
неис,2
